ID	Quelle	Titel	Autor_normalisiert	GND	Jahr	Geschlecht	Gattung	Gattung1	Gattung1 (Allgemeinwissenschaft)	Gattung2	Erzähltes Medium	Erzählerposition	Happyend	Epoche (nach Jahr)	Epoche (nach Fachwissenschaft)	Strömung	Ort	Verlag	Originalsprache	URI
k00100000116	Kernkorpus/TextGrid	Effi Briest	Fontane, Theodor	118534262	1894	m	Roman	Eheroman::Liebesroman::Gesellschaftsroman::Ehebruchroman::Frauenroman::Psychologischer Roman	Ehebruchsroman::Gesellschaftsroman::Eheroman	Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Realismus	Realismus (3)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n18v.0
k00100000117	Kernkorpus/TextGrid	Die Poggenpuhls	Fontane, Theodor	118534262	1895	m	Roman	Zeitroman		Zeit und Gesellschaft		heterodiegetisch	unbestimmbar	Realismus	Realismus (4)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n1w6.0
k00100000118	Kernkorpus/TextGrid	Der Stechlin	Fontane, Theodor	118534262	1897	m	Roman	Erziehungsroman::Gesellschaftsroman::Großstadtroman::Zeitroman	Gesellschaftsroman::politischer Roman	Zeit und Gesellschaft/Individuum und Entwicklung		heterodiegetisch	kein Happyend	Realismus	Realismus (4)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n143.0
k00100000119	Kernkorpus/TextGrid	Mathilde Möhring	Fontane, Theodor	118534262	1906	m	Roman	Gesellschaftsroman::Großstadtroman::Zeitroman		Zeit und Gesellschaft		heterodiegetisch	Happyend	Realismus	Realismus (3)	Realismus (weitere Zuordnung kaum möglich)			de	textgrid:n1zz.0
k00100000120	Kernkorpus/TextGrid	Rodrich	Fouqué, Caroline de la Motte	118692321	1807	f	Roman	-				heterodiegetisch	kein Happyend	Romantik	Romantik (1)	Zeit der napoleonischen Kriege			de	textgrid:n22p.0
k00100000121	Kernkorpus/TextGrid	Die Frau des Falkensteins	Fouqué, Caroline de la Motte	118692321	1810	f	Roman	-				heterodiegetisch	kein Happyend	Romantik	Romantik (1)	Zeit der napoleonischen Kriege			de	textgrid:n22c.0
k00100000122	Kernkorpus/TextGrid	Magie der Natur	Fouqué, Caroline de la Motte	118692321	1812	f	Roman	Zeitroman		Zeit und Gesellschaft		heterodiegetisch	kein Happyend	Romantik	Romantik (1)	Zeit der napoleonischen Kriege			de	textgrid:n22g.0
k00100000123	Kernkorpus/TextGrid	Der Spanier und der Freiwillige in Paris	Fouqué, Caroline de la Motte	118692321	1814	f	Roman	-				heterodiegetisch	kein Happyend	Romantik	Romantik (1)	Zeit der napoleonischen Kriege			de	textgrid:n22m.0
k00100000124	Kernkorpus/TextGrid	Resignation	Fouqué, Caroline de la Motte	118692321	1829	f	Roman	-			Brief	homodiegetisch	unbestimmbar	Romantik	Romantik (1)	Restauration			de	textgrid:n229.0
k00100000125	Kernkorpus/TextGrid	Judith die Kluswirtin	François, Louise von	118692577	1862	f	Roman	Kriminalnovelle		Populäre Unterhaltung		heterodiegetisch	Happyend	Realismus	Realismus (2)				de	textgrid:n24f.0
k00100000126	Kernkorpus/TextGrid	Die Geschichte meines Urgroßvaters	François, Louise von	118692577	1868	f	Roman	-				homodiegetisch	unbestimmbar	Realismus	Realismus (1)				de	textgrid:n24j.0
k00100000127	Kernkorpus/TextGrid	Die letzte Reckenburgerin	François, Louise von	118692577	1871	f	Roman	Historischer Roman::Gesellschaftsroman::Bildungsroman::Entwicklungsroman	Familienroman::historischer Roman	Zeit und Gesellschaft/Individuum und Entwicklung/Populäre Unterhaltung		heterodiegetisch	Happyend	Realismus	Realismus (3)				de	textgrid:n24t.0
k00100000128	Kernkorpus/TextGrid	Stufenjahre eines Glücklichen	François, Louise von	118692577	1877	f	Roman	Entwicklungsroman::Preußen-Roman	historischer Roman	Individuum und Entwicklung		heterodiegetisch	Happyend	Realismus	Realismus (2)				de	textgrid:n248.0
